72 54
########################################################################
####################    #####    ##        #############################
########## ######    #   # #      #      ##       ## ## ##   ###########
########### ##   #         ###          #        #   ##  ###      ######
#########    ###             #                        #  ###    ########
########                                                         #######
###### #  #                                                #      ###  #
##      #                                                          #  ##
####                                                                  ##
###                                    #                             ###
# ###       #  ##        ##            #      ##                     ###
                ##        ##         ##       #                        #
         #      ##   #     ##  #     #       ##    #                   #
 #           #   ##  ##    #  ##     #  #   ####     #            #    #
#            ##  ### ##     ####      ###   ####      ###          #    
##        # #### # ######   ####    ######  ####    ###### #       #    
##        #  ###  ## ## ##    ##   ######## #####  ######## #   #   #  #
#          ## ### # ### ########  ### #################### #        ####
#   #      #   # ## ###### ## ############ ######## ####  ##         ###
## ##       #    # ### ## ## ### ### ##### ####### ####    ##   #    ###
### #        #         # ## ######## ###### ###            #    # # ####
#  ##     # #            ### ## ##### ######            # ##   ####  ###
#  ####     #   #               ######              #    ###   ##    ###
#   ###      #   #  #            ####           ## #   # # #  ###    ###
#    ###     ##  #####            ### #       ######    ##    #      ###
##     #  #   #   ##  ###         ### # #   ####  #    ##  # ###    ####
##    ###  #  ##    # ##     #   ###     #    # ##     ## #  ##    #####
###   ##    #####           #  # ####   ##           ### # ###    ######
###      #   ######       ####   ####   # ###      ######  ##     ######
####       #  ###### ##### ##    #####   #### ########### # ##   #######
####         # # ###### ### #   ######  #  ########### #    ##   #######
####   #   #     ## ####   #   ########    # #### ## ##     ##   #######
####  ## #   #    ## #   ##  ## ###### #     # ##  ##    ##  ##  #######
#### ##  ###       #  # #   #  ######## #     # # # #    ###  # ########
####   ######        # #  ##### ############  #  #      #####   ########
##############    # ##   ###   ########   ###   #       ################
################     #   ##     ######     ##  ##  #  ##################
################       #  ##      ###    ###   #  #   ##################
#################    # ##                    #  ##  # ##################
#################    #    #  ## ## # ########  #     ###################
################# #   #                        ##  # ###################
#################     #    ##      #  #  ##   ##   #####################
#################      #    #  #   #     #    #     ####################
################# #    ##                    ##  #  ####################
#################       ##                 ###   # #####################
#################  #     ####  #   #  #  ####   ########################
##################  #    # ###############     # #######################
##################  #    # #         #  # #    #########################
###################  #    #  ##      #####    # ########################
###################   ##   ## ####### # #   ## #########################
################### #  ##    ## #######    ### #########################
##################### ## #       ####      # ###########################
#############################           ## #############################
########################################################################
